SUBJ,CRS,SEC,TITLE,INSTRUCTORS,CRN,MIN_CRED,MAX_CRED,DAYS,TIME,RM_CAP,ENRL,GLOB_CAP,LOC_CAP,AVAIL,STAT,FIRECAP,CAMPUS,COLLEGE,LEVEL,COREQS,RESTRICTIONS,PREREQS,COMMENTs
AAD,100,01,Arts Admin Lab,Heidelberg (Brea M.),[20340],  0.0,     ,M,07:00PM-08:00PM,48,   47,,   60,   13,OPEN,49,LAW,FP,UG,,| ONLY Arts Administration | ONLY Undergraduate| ONLY BA in Arts Administration,,
AAD,202,F1,Commun/Marketing in Arts,Dellinger (Todd M.),[20342],  3.0,     ,TTH,09:45AM-11:15AM,28,   20,,   19,   -1,CLSD,29,LAW,FP,UG,,| ONLY Junior& Senior& Sophomore| ONLY Undergraduate,AAD 121 UG D and CMP 120 UG D,
AAD,204,L1,Arts Outreach & Education,Heidelberg (Brea M.),[21865],  3.0,     ,TTH,01:10PM-02:40PM,48,   17,,   35,   18,OPEN,49,LAW,FP,UG,,| ONLY Junior& Senior& Sophomore,AAD 121 UG D,
AAD,225,01,Arts Practicun I - Patron Svcs,Heidelberg (Brea M.),[20343],  2.0,     ,M,05:15PM-06:15PM,13,    9,,   16,    7,OPEN,14,LAW,FP,UG,,| ONLY Undergraduate,AAD 121 UG D,
AAD,306,01,SS:Business/Art of Recording,Takacs (Louis),[21828],  2.0,     ,,,,    1,,    1,    0,CLSD,,LAW,WC,UG,,| ONLY Undergraduate,AAD 121 UG D and CBA 110 UG D,Dean Signature Required
AAD,306,02,SS:Business/Art of Recording,Ostrow (Marc D.),[22139],  2.0,     ,,,,    2,,    2,    0,CLSD,,LAW,WC,UG,,| ONLY Undergraduate,AAD 121 UG D and CBA 110 UG D,
AAD,307,I1,Touring & Production Managemnt,Heidelberg (Brea M.),[20344],  3.0,     ,MW,02:50PM-04:20PM,16,    8,,   35,   27,OPEN,17,LAW,FP,UG,,| ONLY Undergraduate,,
AAD,309,G1,Arts Events & Festivals Mgt,Dellinger (Todd M.),[21863],  3.0,     ,MW,01:10PM-02:40PM,16,    8,,   35,   27,OPEN,17,LAW,FP,UG,,| ONLY Arts Administration | ONLY Junior& Senior,AAD 121 UG D,
AAD,325,01,Arts Admin Practicum II,Heidelberg (Brea M.),[20346],  3.0,     ,M,05:15PM-06:15PM,13,    8,,   16,    8,OPEN,14,LAW,FP,UG,,| ONLY Junior& Senior| ONLY Undergraduate,Prerequisites: Two Semesters AAD-225 2.5 minimum GPA,
AAD,400,O1,DS: Arts Politics & Policy,Dellinger (Todd M.),[21860],  3.0,     ,TTH,04:30PM-06:00PM,16,    4,,   35,   31,OPEN,17,LAW,FP,UG,,| ONLY Arts Administration | ONLY Junior& Senior,AAD 121 UG D and AAD 202 UG D and AAD 203 UG D,
